 ,Label,Area,Mean,Min,Max,MinThr,MaxThr
12342,C1-A1-1.tif:12342-04145,480.093,7180.627,2868,63857,0,65535
12343,C1-A1-1.tif:12343-04138,170.986,9020.776,2900,54740,0,65535
12344,C1-A1-1.tif:12344-04140,230.894,4050.211,3013,11145,0,65535
12345,C1-A1-1.tif:12345-04142,245.871,3440.391,3026,3844,0,65535
12346,C1-A1-1.tif:12346-04148,257.520,3050.176,2751,3486,0,65535
12347,C1-A1-1.tif:12347-04144,179.307,1666.754,1428,1899,0,65535
12348,C1-A1-1.tif:12348-04136,82.789,2527.518,2232,2950,0,65535
12349,C1-A1-1.tif:12349-04151,411.033,2828.865,2259,10113,0,65535
12350,C1-A1-1.tif:12350-04136,59.492,2711.476,2414,3268,0,65535
12351,C1-A1-1.tif:12351-04137,42.435,2823.382,2501,3029,0,65535
12352,C1-A1-1.tif:12352-04142,103.590,2885.088,2575,3202,0,65535
12353,C1-A1-1.tif:12353-04146,306.611,3070.661,2603,3442,0,65535
12354,C1-A1-1.tif:12354-04144,235.054,11481.465,3195,65535,0,65535
12355,C1-A1-1.tif:12355-04141,99.430,2147.188,1876,3783,0,65535
12356,C1-A1-1.tif:12356-04139,101.094,18915.831,2607,32596,0,65535
12357,C1-A1-1.tif:12357-04140,91.526,3393.991,2815,6546,0,65535
12358,C1-A1-1.tif:12358-04140,68.644,3508.733,2981,5266,0,65535
12359,C1-A1-1.tif:12359-04140,102.342,3144.720,2790,3621,0,65535
12360,C1-A1-1.tif:12360-04142,64.068,3072.786,2797,3388,0,65535
12361,C1-A1-1.tif:12361-04139,66.148,3131.289,2851,3802,0,65535
12362,C1-A1-1.tif:12362-04156,490.078,7976.814,2873,65535,0,65535
12363,C1-A1-1.tif:12363-04138,101.510,3057.090,2810,3864,0,65535
12364,C1-A1-1.tif:12364-04143,126.472,2705.474,2136,5820,0,65535
12365,C1-A1-1.tif:12365-04156,447.227,4559.910,2983,8731,0,65535
12366,C1-A1-1.tif:12366-04144,119.399,2077.603,1868,2376,0,65535
12367,C1-A1-1.tif:12367-04138,52.003,2883.888,2588,3112,0,65535
12368,C1-A1-1.tif:12368-04144,99.430,2630.870,2373,2909,0,65535
12369,C1-A1-1.tif:12369-04146,178.475,14057.963,2232,65535,0,65535
12370,C1-A1-1.tif:12370-04146,437.659,3521.581,2664,16118,0,65535
12371,C1-A1-1.tif:12371-04143,86.949,3153.153,2814,3565,0,65535
12372,C1-A1-1.tif:12372-04145,131.464,8824.709,2769,65535,0,65535
12373,C1-A1-1.tif:12373-04142,103.174,3375.234,2983,4333,0,65535
12374,C1-A1-1.tif:12374-04143,58.244,3027.836,2756,3419,0,65535
12375,C1-A1-1.tif:12375-04140,80.709,3450.840,2988,4665,0,65535
12376,C1-A1-1.tif:12376-04140,74.885,4677.678,3333,7943,0,65535
12377,C1-A1-1.tif:12377-04142,54.083,1853.685,1653,1972,0,65535
12378,C1-A1-1.tif:12378-04148,288.722,5938.186,2731,23558,0,65535
12379,C1-A1-1.tif:12379-04144,128.552,3194.136,2851,4677,0,65535
12380,C1-A1-1.tif:12380-04140,71.972,3427.711,3003,3883,0,65535
12381,C1-A1-1.tif:12381-04145,159.754,7983.346,3039,65535,0,65535
12382,C1-A1-1.tif:12382-04140,99.430,3001.444,2715,3295,0,65535
12383,C1-A1-1.tif:12383-04146,79.877,2414.792,2132,2716,0,65535
12384,C1-A1-1.tif:12384-04141,66.564,2602.419,2367,2891,0,65535
12385,C1-A1-1.tif:12385-04141,89.445,2760.456,2504,3035,0,65535
12386,C1-A1-1.tif:12386-04153,324.084,2997.981,2565,3782,0,65535
12387,C1-A1-1.tif:12387-04153,443.899,7534.603,2968,46573,0,65535
12388,C1-A1-1.tif:12388-04144,63.236,2845.474,2415,3130,0,65535
12389,C1-A1-1.tif:12389-04166,909.847,5561.817,2686,60938,0,65535
12390,C1-A1-1.tif:12390-04141,45.763,2268.827,2041,2485,0,65535
12391,C1-A1-1.tif:12391-04143,49.091,2629.746,2378,2869,0,65535
12392,C1-A1-1.tif:12392-04147,191.788,3469.683,1882,4454,0,65535
12393,C1-A1-1.tif:12393-04143,63.236,3484.947,3169,4131,0,65535
12394,C1-A1-1.tif:12394-04144,101.094,6605.333,3258,20870,0,65535
12395,C1-A1-1.tif:12395-04147,89.861,3056.134,2774,3350,0,65535
12396,C1-A1-1.tif:12396-04145,49.091,2710.627,2431,3044,0,65535
12397,C1-A1-1.tif:12397-04150,189.292,3167.229,2478,5940,0,65535
12398,C1-A1-1.tif:12398-04146,94.022,3154.752,2732,3587,0,65535
12399,C1-A1-1.tif:12399-04146,90.694,1989.890,1775,2260,0,65535
12400,C1-A1-1.tif:12400-04161,582.435,5011.403,2598,29290,0,65535
12401,C1-A1-1.tif:12401-04143,65.316,3433.439,3129,3978,0,65535
12402,C1-A1-1.tif:12402-04153,172.651,4017.778,2807,51031,0,65535
12403,C1-A1-1.tif:12403-04161,427.258,5119.976,2876,19004,0,65535
12404,C1-A1-1.tif:12404-04156,313.683,3260.564,2850,4341,0,65535
12405,C1-A1-1.tif:12405-04147,91.526,2344.609,2065,2673,0,65535
12406,C1-A1-1.tif:12406-04154,316.595,2522.499,2211,2979,0,65535
12407,C1-A1-1.tif:12407-04159,388.152,2879.078,2504,3266,0,65535
12408,C1-A1-1.tif:12408-04143,55.331,2672.932,2352,2964,0,65535
12409,C1-A1-1.tif:12409-04144,41.187,2773.960,2480,3023,0,65535
12410,C1-A1-1.tif:12410-04144,79.877,3089.214,2792,3495,0,65535
12411,C1-A1-1.tif:12411-04151,205.517,2696.340,2020,4466,0,65535
12412,C1-A1-1.tif:12412-04148,107.335,3044.132,2655,3346,0,65535
12413,C1-A1-1.tif:12413-04145,47.011,6040.929,2021,12895,0,65535
12414,C1-A1-1.tif:12414-04150,105.254,2616.269,2391,2945,0,65535
12415,C1-A1-1.tif:12415-04153,195.116,2687.345,2379,3184,0,65535
12416,C1-A1-1.tif:12416-04145,54.915,2381.652,2091,2643,0,65535
12417,C1-A1-1.tif:12417-04148,78.629,2695.159,2369,2997,0,65535
12418,C1-A1-1.tif:12418-04161,361.526,3951.384,3035,7982,0,65535
12419,C1-A1-1.tif:12419-04146,105.670,25491.091,3523,65535,0,65535
12420,C1-A1-1.tif:12420-04150,71.140,8774.427,3625,12789,0,65535
12421,C1-A1-1.tif:12421-04152,200.524,3938.716,2772,13645,0,65535
12422,C1-A1-1.tif:12422-04151,133.544,5788.495,3324,16778,0,65535
12423,C1-A1-1.tif:12423-04150,120.231,10589.612,4690,24537,0,65535
12424,C1-A1-1.tif:12424-04159,245.871,2592.108,2029,5621,0,65535
12425,C1-A1-1.tif:12425-04159,260.848,2539.724,2194,3062,0,65535
12426,C1-A1-1.tif:12426-04158,234.638,3469.945,3078,3948,0,65535
12427,C1-A1-1.tif:12427-04145,45.347,3196.064,2917,3589,0,65535
